,Datetime,Away,Home
0,2015-10-27,Detroit Pistons,Atlanta Hawks
1,2015-10-27,Cleveland Cavaliers,Chicago Bulls
2,2015-10-27,New Orleans Pelicans,Golden State Warriors
3,2015-10-28,Philadelphia 76ers,Boston Celtics
4,2015-10-28,Chicago Bulls,Brooklyn Nets
5,2015-10-28,Utah Jazz,Detroit Pistons
6,2015-10-28,Denver Nuggets,Houston Rockets
7,2015-10-28,Minnesota Timberwolves,Los Angeles Lakers
8,2015-10-28,Cleveland Cavaliers,Memphis Grizzlies
9,2015-10-28,Charlotte Hornets,Miami Heat
10,2015-10-28,New York Knicks,Milwaukee Bucks
11,2015-10-28,San Antonio Spurs,Oklahoma City Thunder
12,2015-10-28,Washington Wizards,Orlando Magic
13,2015-10-28,Dallas Mavericks,Phoenix Suns
14,2015-10-28,New Orleans Pelicans,Portland Trail Blazers
15,2015-10-28,Los Angeles Clippers,Sacramento Kings
16,2015-10-28,Indiana Pacers,Toronto Raptors
17,2015-10-29,Memphis Grizzlies,Indiana Pacers
18,2015-10-29,Dallas Mavericks,Los Angeles Clippers
19,2015-10-29,Atlanta Hawks,New York Knicks
20,2015-10-30,Charlotte Hornets,Atlanta Hawks
21,2015-10-30,Toronto Raptors,Boston Celtics
22,2015-10-30,Miami Heat,Cleveland Cavaliers
23,2015-10-30,Minnesota Timberwolves,Denver Nuggets
24,2015-10-30,Chicago Bulls,Detroit Pistons
25,2015-10-30,Golden State Warriors,Houston Rockets
26,2015-10-30,Washington Wizards,Milwaukee Bucks
27,2015-10-30,Oklahoma City Thunder,Orlando Magic
28,2015-10-30,Utah Jazz,Philadelphia 76ers
29,2015-10-30,Portland Trail Blazers,Phoenix Suns
30,2015-10-30,Los Angeles Lakers,Sacramento Kings
31,2015-10-30,Brooklyn Nets,San Antonio Spurs
32,2015-10-31,Utah Jazz,Indiana Pacers
33,2015-10-31,Sacramento Kings,Los Angeles Clippers
34,2015-10-31,Brooklyn Nets,Memphis Grizzlies
35,2015-10-31,Golden State Warriors,New Orleans Pelicans
36,2015-10-31,Phoenix Suns,Portland Trail Blazers
37,2015-10-31,New York Knicks,Washington Wizards
38,2015-11-01,San Antonio Spurs,Boston Celtics
39,2015-11-01,Orlando Magic,Chicago Bulls
40,2015-11-01,Atlanta Hawks,Charlotte Hornets
41,2015-11-01,Dallas Mavericks,Los Angeles Lakers
42,2015-11-01,Houston Rockets,Miami Heat
43,2015-11-01,Denver Nuggets,Oklahoma City Thunder
44,2015-11-01,Milwaukee Bucks,Toronto Raptors
45,2015-11-02,Milwaukee Bucks,Brooklyn Nets
46,2015-11-02,Memphis Grizzlies,Golden State Warriors
47,2015-11-02,Oklahoma City Thunder,Houston Rockets
48,2015-11-02,Phoenix Suns,Los Angeles Clippers
49,2015-11-02,Portland Trail Blazers,Minnesota Timberwolves
50,2015-11-02,San Antonio Spurs,New York Knicks
51,2015-11-02,Cleveland Cavaliers,Philadelphia 76ers
52,2015-11-03,Chicago Bulls,Charlotte Hornets
53,2015-11-03,Toronto Raptors,Dallas Mavericks
54,2015-11-03,Indiana Pacers,Detroit Pistons
55,2015-11-03,Denver Nuggets,Los Angeles Lakers
56,2015-11-03,Atlanta Hawks,Miami Heat
57,2015-11-03,Orlando Magic,New Orleans Pelicans
58,2015-11-03,Memphis Grizzlies,Sacramento Kings
59,2015-11-04,Brooklyn Nets,Atlanta Hawks
60,2015-11-04,New York Knicks,Cleveland Cavaliers
61,2015-11-04,Los Angeles Clippers,Golden State Warriors
62,2015-11-04,Orlando Magic,Houston Rockets
63,2015-11-04,Boston Celtics,Indiana Pacers
64,2015-11-04,Philadelphia 76ers,Milwaukee Bucks
65,2015-11-04,Toronto Raptors,Oklahoma City Thunder
66,2015-11-04,Sacramento Kings,Phoenix Suns
67,2015-11-04,Portland Trail Blazers,Utah Jazz
68,2015-11-04,San Antonio Spurs,Washington Wizards
69,2015-11-05,Oklahoma City Thunder,Chicago Bulls
70,2015-11-05,Charlotte Hornets,Dallas Mavericks
71,2015-11-05,Utah Jazz,Denver Nuggets
72,2015-11-05,Miami Heat,Minnesota Timberwolves
73,2015-11-05,Memphis Grizzlies,Portland Trail Blazers
74,2015-11-06,Washington Wizards,Boston Celtics
75,2015-11-06,Los Angeles Lakers,Brooklyn Nets
76,2015-11-06,Philadelphia 76ers,Cleveland Cavaliers
77,2015-11-06,Denver Nuggets,Golden State Warriors
78,2015-11-06,Miami Heat,Indiana Pacers
79,2015-11-06,Atlanta Hawks,New Orleans Pelicans
80,2015-11-06,Milwaukee Bucks,New York Knicks
81,2015-11-06,Toronto Raptors,Orlando Magic
82,2015-11-06,Detroit Pistons,Phoenix Suns
83,2015-11-06,Houston Rockets,Sacramento Kings
84,2015-11-07,Washington Wizards,Atlanta Hawks
85,2015-11-07,Minnesota Timberwolves,Chicago Bulls
86,2015-11-07,New Orleans Pelicans,Dallas Mavericks
87,2015-11-07,Houston Rockets,Los Angeles Clippers
88,2015-11-07,Brooklyn Nets,Milwaukee Bucks
89,2015-11-07,Orlando Magic,Philadelphia 76ers
90,2015-11-07,Golden State Warriors,Sacramento Kings
91,2015-11-07,Charlotte Hornets,San Antonio Spurs
92,2015-11-07,Memphis Grizzlies,Utah Jazz
93,2015-11-08,Indiana Pacers,Cleveland Cavaliers
94,2015-11-08,Toronto Raptors,Miami Heat
95,2015-11-08,Los Angeles Lakers,New York Knicks
96,2015-11-08,Phoenix Suns,Oklahoma City Thunder
97,2015-11-08,Detroit Pistons,Portland Trail Blazers
98,2015-11-09,Minnesota Timberwolves,Atlanta Hawks
99,2015-11-09,Portland Trail Blazers,Denver Nuggets
100,2015-11-09,Detroit Pistons,Golden State Warriors
101,2015-11-09,Orlando Magic,Indiana Pacers
102,2015-11-09,Memphis Grizzlies,Los Angeles Clippers
103,2015-11-09,Chicago Bulls,Philadelphia 76ers
104,2015-11-09,San Antonio Spurs,Sacramento Kings
105,2015-11-10,Utah Jazz,Cleveland Cavaliers
106,2015-11-10,Los Angeles Lakers,Miami Heat
107,2015-11-10,Boston Celtics,Milwaukee Bucks
108,2015-11-10,Charlotte Hornets,Minnesota Timberwolves
109,2015-11-10,Dallas Mavericks,New Orleans Pelicans
110,2015-11-10,New York Knicks,Toronto Raptors
111,2015-11-10,Oklahoma City Thunder,Washington Wizards
112,2015-11-11,New Orleans Pelicans,Atlanta Hawks
113,2015-11-11,Indiana Pacers,Boston Celtics
114,2015-11-11,New York Knicks,Charlotte Hornets
115,2015-11-11,Los Angeles Clippers,Dallas Mavericks
116,2015-11-11,Milwaukee Bucks,Denver Nuggets
117,2015-11-11,Brooklyn Nets,Houston Rockets
118,2015-11-11,Golden State Warriors,Memphis Grizzlies
119,2015-11-11,Los Angeles Lakers,Orlando Magic
120,2015-11-11,Toronto Raptors,Philadelphia 76ers
121,2015-11-11,San Antonio Spurs,Portland Trail Blazers
122,2015-11-11,Detroit Pistons,Sacramento Kings
123,2015-11-12,Utah Jazz,Miami Heat
124,2015-11-12,Golden State Warriors,Minnesota Timberwolves
125,2015-11-12,Los Angeles Clippers,Phoenix Suns
126,2015-11-13,Atlanta Hawks,Boston Celtics
127,2015-11-13,Charlotte Hornets,Chicago Bulls
128,2015-11-13,Los Angeles Lakers,Dallas Mavericks
129,2015-11-13,Houston Rockets,Denver Nuggets
130,2015-11-13,Minnesota Timberwolves,Indiana Pacers
131,2015-11-13,Portland Trail Blazers,Memphis Grizzlies
132,2015-11-13,Cleveland Cavaliers,New York Knicks
133,2015-11-13,Philadelphia 76ers,Oklahoma City Thunder
134,2015-11-13,Utah Jazz,Orlando Magic
135,2015-11-13,Brooklyn Nets,Sacramento Kings
136,2015-11-13,New Orleans Pelicans,Toronto Raptors
137,2015-11-14,Brooklyn Nets,Golden State Warriors
138,2015-11-14,Dallas Mavericks,Houston Rockets
139,2015-11-14,Detroit Pistons,Los Angeles Clippers
140,2015-11-14,Cleveland Cavaliers,Milwaukee Bucks
141,2015-11-14,Denver Nuggets,Phoenix Suns
142,2015-11-14,Philadelphia 76ers,San Antonio Spurs
143,2015-11-14,Orlando Magic,Washington Wizards
144,2015-11-15,Utah Jazz,Atlanta Hawks
145,2015-11-15,Portland Trail Blazers,Charlotte Hornets
146,2015-11-15,Detroit Pistons,Los Angeles Lakers
147,2015-11-15,Memphis Grizzlies,Minnesota Timberwolves
148,2015-11-15,New Orleans Pelicans,New York Knicks
149,2015-11-15,Boston Celtics,Oklahoma City Thunder
150,2015-11-15,Toronto Raptors,Sacramento Kings
151,2015-11-16,Indiana Pacers,Chicago Bulls
152,2015-11-16,Boston Celtics,Houston Rockets
153,2015-11-16,Oklahoma City Thunder,Memphis Grizzlies
154,2015-11-16,Dallas Mavericks,Philadelphia 76ers
155,2015-11-16,Los Angeles Lakers,Phoenix Suns
156,2015-11-16,Portland Trail Blazers,San Antonio Spurs
157,2015-11-17,Atlanta Hawks,Brooklyn Nets
158,2015-11-17,Cleveland Cavaliers,Detroit Pistons
159,2015-11-17,Toronto Raptors,Golden State Warriors
160,2015-11-17,Minnesota Timberwolves,Miami Heat
161,2015-11-17,Denver Nuggets,New Orleans Pelicans
162,2015-11-17,Charlotte Hornets,New York Knicks
163,2015-11-17,Milwaukee Bucks,Washington Wizards
164,2015-11-18,Sacramento Kings,Atlanta Hawks
165,2015-11-18,Dallas Mavericks,Boston Celtics
166,2015-11-18,Brooklyn Nets,Charlotte Hornets
167,2015-11-18,Portland Trail Blazers,Houston Rockets
168,2015-11-18,New Orleans Pelicans,Oklahoma City Thunder
169,2015-11-18,Minnesota Timberwolves,Orlando Magic
170,2015-11-18,Indiana Pacers,Philadelphia 76ers
171,2015-11-18,Chicago Bulls,Phoenix Suns
172,2015-11-18,Denver Nuggets,San Antonio Spurs
173,2015-11-18,Toronto Raptors,Utah Jazz
174,2015-11-19,Milwaukee Bucks,Cleveland Cavaliers
175,2015-11-19,Golden State Warriors,Los Angeles Clippers
176,2015-11-19,Sacramento Kings,Miami Heat
177,2015-11-20,Brooklyn Nets,Boston Celtics
178,2015-11-20,Philadelphia 76ers,Charlotte Hornets
179,2015-11-20,Utah Jazz,Dallas Mavericks
180,2015-11-20,Phoenix Suns,Denver Nuggets
181,2015-11-20,Chicago Bulls,Golden State Warriors
182,2015-11-20,Toronto Raptors,Los Angeles Lakers
183,2015-11-20,Houston Rockets,Memphis Grizzlies
184,2015-11-20,Detroit Pistons,Minnesota Timberwolves
185,2015-11-20,San Antonio Spurs,New Orleans Pelicans
186,2015-11-20,New York Knicks,Oklahoma City Thunder
187,2015-11-20,Los Angeles Clippers,Portland Trail Blazers
188,2015-11-21,Atlanta Hawks,Cleveland Cavaliers
189,2015-11-21,Washington Wizards,Detroit Pistons
190,2015-11-21,New York Knicks,Houston Rockets
191,2015-11-21,Milwaukee Bucks,Indiana Pacers
192,2015-11-21,Philadelphia 76ers,Miami Heat
193,2015-11-21,Sacramento Kings,Orlando Magic
194,2015-11-21,Memphis Grizzlies,San Antonio Spurs
195,2015-11-22,Boston Celtics,Brooklyn Nets
196,2015-11-22,Golden State Warriors,Denver Nuggets
197,2015-11-22,Toronto Raptors,Los Angeles Clippers
198,2015-11-22,Portland Trail Blazers,Los Angeles Lakers
199,2015-11-22,Phoenix Suns,New Orleans Pelicans
200,2015-11-22,Dallas Mavericks,Oklahoma City Thunder
201,2015-11-23,Sacramento Kings,Charlotte Hornets
202,2015-11-23,Orlando Magic,Cleveland Cavaliers
203,2015-11-23,New York Knicks,Miami Heat
204,2015-11-23,Detroit Pistons,Milwaukee Bucks
205,2015-11-23,Philadelphia 76ers,Minnesota Timberwolves
206,2015-11-23,Phoenix Suns,San Antonio Spurs
207,2015-11-23,Oklahoma City Thunder,Utah Jazz
208,2015-11-24,Boston Celtics,Atlanta Hawks
209,2015-11-24,Los Angeles Clippers,Denver Nuggets
210,2015-11-24,Los Angeles Lakers,Golden State Warriors
211,2015-11-24,Dallas Mavericks,Memphis Grizzlies
212,2015-11-24,Chicago Bulls,Portland Trail Blazers
213,2015-11-24,Indiana Pacers,Washington Wizards
214,2015-11-25,Philadelphia 76ers,Boston Celtics
215,2015-11-25,Washington Wizards,Charlotte Hornets
216,2015-11-25,Miami Heat,Detroit Pistons
217,2015-11-25,Memphis Grizzlies,Houston Rockets
218,2015-11-25,Utah Jazz,Los Angeles Clippers
219,2015-11-25,Sacramento Kings,Milwaukee Bucks
220,2015-11-25,Atlanta Hawks,Minnesota Timberwolves
221,2015-11-25,Brooklyn Nets,Oklahoma City Thunder
222,2015-11-25,New York Knicks,Orlando Magic
223,2015-11-25,New Orleans Pelicans,Phoenix Suns
224,2015-11-25,Dallas Mavericks,San Antonio Spurs
225,2015-11-25,Cleveland Cavaliers,Toronto Raptors
226,2015-11-27,Washington Wizards,Boston Celtics
227,2015-11-27,Cleveland Cavaliers,Charlotte Hornets
228,2015-11-27,San Antonio Spurs,Denver Nuggets
229,2015-11-27,Philadelphia 76ers,Houston Rockets
230,2015-11-27,Chicago Bulls,Indiana Pacers
231,2015-11-27,New Orleans Pelicans,Los Angeles Clippers
232,2015-11-27,Atlanta Hawks,Memphis Grizzlies
233,2015-11-27,Miami Heat,New York Knicks
234,2015-11-27,Detroit Pistons,Oklahoma City Thunder
235,2015-11-27,Milwaukee Bucks,Orlando Magic
236,2015-11-27,Golden State Warriors,Phoenix Suns
237,2015-11-27,Minnesota Timberwolves,Sacramento Kings
238,2015-11-28,Brooklyn Nets,Cleveland Cavaliers
239,2015-11-28,Denver Nuggets,Dallas Mavericks
240,2015-11-28,Sacramento Kings,Golden State Warriors
241,2015-11-28,Los Angeles Lakers,Portland Trail Blazers
242,2015-11-28,Atlanta Hawks,San Antonio Spurs
243,2015-11-28,New Orleans Pelicans,Utah Jazz
244,2015-11-28,Toronto Raptors,Washington Wizards
245,2015-11-29,Detroit Pistons,Brooklyn Nets
246,2015-11-29,Milwaukee Bucks,Charlotte Hornets
247,2015-11-29,Minnesota Timberwolves,Los Angeles Clippers
248,2015-11-29,Indiana Pacers,Los Angeles Lakers
249,2015-11-29,Philadelphia 76ers,Memphis Grizzlies
250,2015-11-29,Houston Rockets,New York Knicks
251,2015-11-29,Boston Celtics,Orlando Magic
252,2015-11-29,Phoenix Suns,Toronto Raptors
253,2015-11-30,Oklahoma City Thunder,Atlanta Hawks
254,2015-11-30,San Antonio Spurs,Chicago Bulls
255,2015-11-30,Houston Rockets,Detroit Pistons
256,2015-11-30,Portland Trail Blazers,Los Angeles Clippers
257,2015-11-30,Boston Celtics,Miami Heat
258,2015-11-30,Denver Nuggets,Milwaukee Bucks
259,2015-11-30,Dallas Mavericks,Sacramento Kings
260,2015-11-30,Golden State Warriors,Utah Jazz
261,2015-12-01,Phoenix Suns,Brooklyn Nets
262,2015-12-01,Washington Wizards,Cleveland Cavaliers
263,2015-12-01,Orlando Magic,Minnesota Timberwolves
264,2015-12-01,Memphis Grizzlies,New Orleans Pelicans
265,2015-12-01,Los Angeles Lakers,Philadelphia 76ers
266,2015-12-01,Dallas Mavericks,Portland Trail Blazers
267,2015-12-02,Toronto Raptors,Atlanta Hawks
268,2015-12-02,Denver Nuggets,Chicago Bulls
269,2015-12-02,Golden State Warriors,Charlotte Hornets
270,2015-12-02,Phoenix Suns,Detroit Pistons
271,2015-12-02,New Orleans Pelicans,Houston Rockets
272,2015-12-02,Indiana Pacers,Los Angeles Clippers
273,2015-12-02,Philadelphia 76ers,New York Knicks
274,2015-12-02,Milwaukee Bucks,San Antonio Spurs
275,2015-12-02,Los Angeles Lakers,Washington Wizards
276,2015-12-03,San Antonio Spurs,Memphis Grizzlies
277,2015-12-03,Oklahoma City Thunder,Miami Heat
278,2015-12-03,Indiana Pacers,Portland Trail Blazers
279,2015-12-03,Boston Celtics,Sacramento Kings
280,2015-12-03,Denver Nuggets,Toronto Raptors
281,2015-12-03,Orlando Magic,Utah Jazz
282,2015-12-04,Los Angeles Lakers,Atlanta Hawks
283,2015-12-04,Houston Rockets,Dallas Mavericks
284,2015-12-04,Milwaukee Bucks,Detroit Pistons
285,2015-12-04,Cleveland Cavaliers,New Orleans Pelicans
286,2015-12-04,Brooklyn Nets,New York Knicks
287,2015-12-04,Phoenix Suns,Washington Wizards
288,2015-12-05,Charlotte Hornets,Chicago Bulls
289,2015-12-05,Sacramento Kings,Houston Rockets
290,2015-12-05,Orlando Magic,Los Angeles Clippers
291,2015-12-05,Cleveland Cavaliers,Miami Heat
292,2015-12-05,New York Knicks,Milwaukee Bucks
293,2015-12-05,Portland Trail Blazers,Minnesota Timberwolves
294,2015-12-05,Denver Nuggets,Philadelphia 76ers
295,2015-12-05,Boston Celtics,San Antonio Spurs
296,2015-12-05,Golden State Warriors,Toronto Raptors
297,2015-12-05,Indiana Pacers,Utah Jazz
298,2015-12-06,Golden State Warriors,Brooklyn Nets
299,2015-12-06,Los Angeles Lakers,Detroit Pistons
300,2015-12-06,Phoenix Suns,Memphis Grizzlies
301,2015-12-06,Sacramento Kings,Oklahoma City Thunder
302,2015-12-06,Dallas Mavericks,Washington Wizards
303,2015-12-07,Phoenix Suns,Chicago Bulls
304,2015-12-07,Detroit Pistons,Charlotte Hornets
305,2015-12-07,Washington Wizards,Miami Heat
306,2015-12-07,Portland Trail Blazers,Milwaukee Bucks
307,2015-12-07,Los Angeles Clippers,Minnesota Timberwolves
308,2015-12-07,Boston Celtics,New Orleans Pelicans
309,2015-12-07,Dallas Mavericks,New York Knicks
310,2015-12-07,San Antonio Spurs,Philadelphia 76ers
311,2015-12-07,Los Angeles Lakers,Toronto Raptors
312,2015-12-08,Houston Rockets,Brooklyn Nets
313,2015-12-08,Portland Trail Blazers,Cleveland Cavaliers
314,2015-12-08,Orlando Magic,Denver Nuggets
315,2015-12-08,Golden State Warriors,Indiana Pacers
316,2015-12-08,Oklahoma City Thunder,Memphis Grizzlies
317,2015-12-08,Utah Jazz,Sacramento Kings
318,2015-12-09,Chicago Bulls,Boston Celtics
319,2015-12-09,Miami Heat,Charlotte Hornets
320,2015-12-09,Atlanta Hawks,Dallas Mavericks
321,2015-12-09,Memphis Grizzlies,Detroit Pistons
322,2015-12-09,Los Angeles Clippers,Milwaukee Bucks
323,2015-12-09,Los Angeles Lakers,Minnesota Timberwolves
324,2015-12-09,Orlando Magic,Phoenix Suns
325,2015-12-09,San Antonio Spurs,Toronto Raptors
326,2015-12-09,New York Knicks,Utah Jazz
327,2015-12-09,Houston Rockets,Washington Wizards
328,2015-12-10,Philadelphia 76ers,Brooklyn Nets
329,2015-12-10,Los Angeles Clippers,Chicago Bulls
330,2015-12-10,Atlanta Hawks,Oklahoma City Thunder
331,2015-12-10,New York Knicks,Sacramento Kings
332,2015-12-11,Golden State Warriors,Boston Celtics
333,2015-12-11,Minnesota Timberwolves,Denver Nuggets
334,2015-12-11,Miami Heat,Indiana Pacers
335,2015-12-11,Charlotte Hornets,Memphis Grizzlies
336,2015-12-11,Washington Wizards,New Orleans Pelicans
337,2015-12-11,Cleveland Cavaliers,Orlando Magic
338,2015-12-11,Detroit Pistons,Philadelphia 76ers
339,2015-12-11,Portland Trail Blazers,Phoenix Suns
340,2015-12-11,Los Angeles Lakers,San Antonio Spurs
341,2015-12-11,Milwaukee Bucks,Toronto Raptors
342,2015-12-11,Oklahoma City Thunder,Utah Jazz
343,2015-12-12,San Antonio Spurs,Atlanta Hawks
344,2015-12-12,Los Angeles Clippers,Brooklyn Nets
345,2015-12-12,New Orleans Pelicans,Chicago Bulls
346,2015-12-12,Boston Celtics,Charlotte Hornets
347,2015-12-12,Washington Wizards,Dallas Mavericks
348,2015-12-12,Indiana Pacers,Detroit Pistons
349,2015-12-12,Los Angeles Lakers,Houston Rockets
350,2015-12-12,Golden State Warriors,Milwaukee Bucks
351,2015-12-12,New York Knicks,Portland Trail Blazers
352,2015-12-13,Memphis Grizzlies,Miami Heat
353,2015-12-13,Utah Jazz,Oklahoma City Thunder
354,2015-12-13,Minnesota Timberwolves,Phoenix Suns
355,2015-12-13,Philadelphia 76ers,Toronto Raptors
356,2015-12-14,Miami Heat,Atlanta Hawks
357,2015-12-14,Orlando Magic,Brooklyn Nets
358,2015-12-14,Philadelphia 76ers,Chicago Bulls
359,2015-12-14,Phoenix Suns,Dallas Mavericks
360,2015-12-14,Houston Rockets,Denver Nuggets
361,2015-12-14,Los Angeles Clippers,Detroit Pistons
362,2015-12-14,Toronto Raptors,Indiana Pacers
363,2015-12-14,Washington Wizards,Memphis Grizzlies
364,2015-12-14,New Orleans Pelicans,Portland Trail Blazers
365,2015-12-14,Utah Jazz,San Antonio Spurs
366,2015-12-15,Cleveland Cavaliers,Boston Celtics
367,2015-12-15,Milwaukee Bucks,Los Angeles Lakers
368,2015-12-15,Denver Nuggets,Minnesota Timberwolves
369,2015-12-15,Houston Rockets,Sacramento Kings
370,2015-12-16,Philadelphia 76ers,Atlanta Hawks
371,2015-12-16,Miami Heat,Brooklyn Nets
372,2015-12-16,Memphis Grizzlies,Chicago Bulls
373,2015-12-16,Boston Celtics,Detroit Pistons
374,2015-12-16,Phoenix Suns,Golden State Warriors
375,2015-12-16,Dallas Mavericks,Indiana Pacers
376,2015-12-16,Milwaukee Bucks,Los Angeles Clippers
377,2015-12-16,Minnesota Timberwolves,New York Knicks
378,2015-12-16,Portland Trail Blazers,Oklahoma City Thunder
379,2015-12-16,Charlotte Hornets,Orlando Magic
380,2015-12-16,Washington Wizards,San Antonio Spurs
381,2015-12-16,New Orleans Pelicans,Utah Jazz
382,2015-12-17,Toronto Raptors,Charlotte Hornets
383,2015-12-17,Oklahoma City Thunder,Cleveland Cavaliers
384,2015-12-17,Houston Rockets,Los Angeles Lakers
385,2015-12-18,Atlanta Hawks,Boston Celtics
386,2015-12-18,Detroit Pistons,Chicago Bulls
387,2015-12-18,Memphis Grizzlies,Dallas Mavericks
388,2015-12-18,Milwaukee Bucks,Golden State Warriors
389,2015-12-18,Brooklyn Nets,Indiana Pacers
390,2015-12-18,Toronto Raptors,Miami Heat
391,2015-12-18,Sacramento Kings,Minnesota Timberwolves
392,2015-12-18,Portland Trail Blazers,Orlando Magic
393,2015-12-18,New York Knicks,Philadelphia 76ers
394,2015-12-18,New Orleans Pelicans,Phoenix Suns
395,2015-12-18,Los Angeles Clippers,San Antonio Spurs
396,2015-12-18,Denver Nuggets,Utah Jazz
397,2015-12-19,Los Angeles Clippers,Houston Rockets
398,2015-12-19,Indiana Pacers,Memphis Grizzlies
399,2015-12-19,Chicago Bulls,New York Knicks
400,2015-12-19,Los Angeles Lakers,Oklahoma City Thunder
401,2015-12-19,Charlotte Hornets,Washington Wizards
402,2015-12-20,Minnesota Timberwolves,Brooklyn Nets
403,2015-12-20,Philadelphia 76ers,Cleveland Cavaliers
404,2015-12-20,New Orleans Pelicans,Denver Nuggets
405,2015-12-20,Portland Trail Blazers,Miami Heat
406,2015-12-20,Atlanta Hawks,Orlando Magic
407,2015-12-20,Milwaukee Bucks,Phoenix Suns
408,2015-12-20,Sacramento Kings,Toronto Raptors
409,2015-12-21,Portland Trail Blazers,Atlanta Hawks
410,2015-12-21,Minnesota Timberwolves,Boston Celtics
411,2015-12-21,Brooklyn Nets,Chicago Bulls
